totalProteinIdealValue,totalCaloriesIdealValue,firstMealProteinFoodTotalGrams,firstMealProteinFoodTotalKcal,firstMealLipidFoodTotalGrams,firstMealLipidFoodTotalKcal,firstMealCarboFoodTotalGrams,firstMealCarboFoodTotalKcal,secondMealProteinFoodTotalGrams,secondMealProteinFoodTotalKcal,secondMealLipidFoodTotalGrams,secondMealLipidFoodTotalKcal,secondMealCarboFoodTotalGrams,secondMealCarboFoodTotalKcal,thirdMealProteinFoodTotalGrams,thirdMealProteinFoodTotalKcal,thirdMealLipidFoodTotalGrams,thirdMealLipidFoodTotalKcal,thirdMealCarboFoodTotalGrams,thirdMealCarboFoodTotalKcal,fourthMealProteinFoodTotalGrams,fourthMealProteinFoodTotalKcal,fourthMealLipidFoodTotalGrams,fourthMealLipidFoodTotalKcal,fourthMealCarboFoodTotalGrams,fourthMealCarboFoodTotalKcal,totalProteinCalculated,totalCaloriesCalculated
142.0,1502.617375,103,218.79301200000003,6,36.34686557502114,37,46.3825525,114,185.67723021479796,33,199.90776066261628,85,65.24566892791991,90,209.5950570000003,6,36.34686557502114,15,55.668391956521695,134,312.0637515333338,5,44.2,180,92.85925794528725,143.18123723008176,1503.0864138905201
178.0,3716.2883750000005,91,193.30256400000002,7,42.404676504191336,411,507.728408175,127,277.71737699999994,15,132.6,550,705.4216711666686,86,140.07229647783004,32,182.4536404805181,549,421.4102616638592,121,257.028684,21,127.214029512574,569,729.7907834433354,179.35013565712148,3717.144392423971
180.6,3766.4705,70,163.0183776666669,13,78.75154207921247,138,512.1492059999996,128,208.47969708328193,21,185.64,596,736.2679593,106,172.64724914709285,14,123.75999999999999,596,457.48727860047376,91,211.923890966667,11,66.6359202208721,229,849.8707838695645,181.93701504928146,3766.631904933837
90.1,2860.6265000000003,19,44.24784536666673,18,102.63017277029142,825,425.60493224923323,78,181.64904940000028,12,68.42011518019429,486,609.241095,17,39.590177433333395,16,96.92497486672305,845,435.9226275764874,71,165.3472116333336,7,61.879999999999995,820,629.4288061281686,90.62729735828873,2860.887007604439
156.20000000000002,1393.3000000000002,107,249.1852344333337,3,17.10502879504857,10,12.825848566666702,145,317.07889499999993,9,79.56,42,21.667160187233694,80,175.4074133333336,15,90.86716393755286,15,18.8037375,127,277.71737699999994,18,109.04059672506342,19,24.369112276666733,157.2984189718017,1393.6275677549002
200.0,2021.002,105,171.0185015136297,31,187.7921388042759,88,45.397859439918214,171,373.93442099999993,32,182.4536404805181,66,50.661342932267225,109,177.53349204748227,36,205.26034554058285,36,27.63345978123667,174,380.4946739999999,15,132.6,113,86.73835986888177,201.02371730163247,2021.5182354087992
209.00000000000003,2825.0179999999996,106,232.41482266666705,11,97.24,191,235.951644675,209,443.95863600000007,12,68.42011518019429,262,336.0372324466676,123,286.4465779000004,8,48.462487433361524,447,230.60049056413,147,321.45239699999996,24,136.84023036038857,314,387.89956245,210.66015965236332,2825.7241966764127
129.8,1368.2262500000002,92,195.426768,4,24.231243716680762,105,54.167900468084234,102,166.13225861324028,27,163.56089508759516,66,81.53302905,72,157.446072,10,60.57810929170191,46,56.826050550000005,102,223.64445200000037,9,79.56,84,105.30093000000001,130.403334697714,1368.407708777303
149.60000000000002,2632.28125,63,102.61110090817783,21,127.214029512574,241,297.719090925,135,286.76754000000005,6,53.04,873,450.3674010346432,83,193.29321923333362,2,17.68,256,316.2493248,90,197.3333400000003,9,79.56,414,511.43445495000003,150.8431203329763,2633.269501363707
144.5,3685.7435000000005,72,157.446072,19,115.09840765423363,371,465.0791075,94,153.10227754553517,22,194.48,592,759.2902351466688,69,112.38358670895667,32,182.4536404805181,353,442.51462250000003,122,284.11774393333377,15,85.52514397524286,586,734.599345,145.62898404290456,3686.0901824444695
